number of digits,total operations
1,4
2,92
3,96
4,364
5,684
6,772
7,1280
8,1236
9,1644
10,1920
11,1844
12,2428
13,2976
14,2932
15,3120
16,3504
17,4512
18,4648
19,4812
20,5668
21,6168
22,6308
23,7012
24,7360
25,8048
26,8984
27,9084
28,9424
29,9948
30,11424
31,11280
32,12092
33,12448
34,12948
35,14996
36,14224
37,15572
38,15740
39,16244
40,17040
41,18216
42,17920
43,17272
44,20212
45,19968
46,21488
47,22864
48,23528
49,24568
50,24092
51,24876
52,25508
53,27344
54,26608
55,28952
56,28136
57,30208
58,30724
59,33432
60,33120
61,35152
62,32648
63,36600
64,35328
65,37960
66,38320
67,40064
68,41324
69,40904
70,41808
71,44552
72,44448
73,46180
74,44796
75,46740
76,47196
77,50036
78,48196
79,51592
80,53260
81,53364
82,51340
83,55808
84,54920
85,55212
86,57832
87,57660
88,59760
89,60008
90,61932
91,64604
92,65712
93,66452
94,68664
95,66900
96,69864
97,70696
98,71584
99,75572
100,75696
101,76228
102,75436
103,79548
104,79120
105,82060
